n1,n2,n3,darija_ar,eng
nffakha,neffakha,naffa5a,نفاخة,balloon
taSrrof,taSarrof,taSarrouf,تصرّف,behavior
SoniT,,,صونيط,bell
asasi,,,أساسي,basic
a7san,ahsan,,أحسن,best
wlada,oulada,,ولادة,birth
mout,mawt,maout,موت,death
wafat,wafaat,,وفاة,death
3idmilad,3id milad,,عيد ميلاد,birthday
3id,,,عيد,feast
7fla,7efla,hafla,حفلة,party
3DDa,3aDDa,3eDDa,عضة,bite
mlaya,,,ملايا,blanket
manTa,,,مانطة,blanket
ghTa,,,غطا,coverage
sTl,sTal,sTel,سطل,bucket
nchoufouk,nchofok,,نشوفوك,see you
gardkor,gardkour,,ڭاردكور,bodyguard
chaff,chef,,شافّ,boss
9r3a ,9ar3a,9er3a,قرعة,bottle
Sndo9,Sandou9,Sndou9,صندوق,box
flouka,floka,,فلوكة,boat
smia,smya,smyya,سمية,first name
knia,knya,knyya,كنية,last name
sabab,,,سبب,cause
tlfaza,telfaza,talfaza,تلفازة,television
3om9,3oum9,3omq,عمق,depth
tghyir,taghyir,teghyir,تغيير,change
khTwa,khoTwa,5Twa,خطوة,step
Tari9a,Tariqa,,طريقة,method
Tri9,Triq,,طريق,way
bidaya,,,بداية,start
ni8aya,nihaya,,نهاية,end
9iSSa,9isa,qissa,قصة,story
mnchar,menchar,manchar,منشار,saw
Sara7a,,,صراحة,truth
mital,,,مثال,example
3alama,,,علامة,mark
bka,,,بكا,cry
mSla7a,meSla7a,maSla7a,مصلحة,interest
safar,,,سفر,travel
bnadm,bnadem,,بنادم,human
insan,,,إنسان,human
bachar,,,بشر,human being
mDarba,,,مضاربة,fight
mdabza,,,مدابزة,fight
mTayfa,,,مطايفة,fight
Trf,Tarf,Terf,طرف,fraction
7iT,7ayT,7eT,حيط,wall
maw9if,mou9if,,موقف,position
armala,,,أرملة,widow
7kma,7ikma,,حكمة,wisdom
mtla,,,متلة,proverb
khdma,khedma,kahdma,خدمة,job
dakar,,,دكر,male
ounta,,,أنتى,female
ri7la,rihla,,رحلة,trip
rmz,ramz,remz,رمز,symbol
7aala,7ala,hala,حالة,case
sarout,sarot,,ساروت,key
vilaj,,,ڤيلاج,village
nou3,naw3,now3,نوع,type
9anoun,9anon,qanon,قانون,law
9yma,9ima,qima,قيمة,value
m3na,me3na,ma3na,معنى,sense
khaTar,5aTar,,خطر,danger
3skri,3askri,3eskri,عسكري,soldier
skka,sekka,,سكة,rail
t9lab,te9lab,taqlab,تقلاب,search
ttiSal,ittiSal,,اتصال,connection
mokalama,mokaalama,,مكالمة,call
3adow,3dow,3do,عدو,enemy
dkhan,dokhan,d55an,دخان,smoke
bokhar,boukhar,bo5ar,بخار,steam
masar,masaar,,مسار,path
7lma,7elma,7alma,حلمة,dream
DDoble,Doble,,ضوبل,double
mokhyyam,mo5yam,mokhayyam,مخيّم,camp
kamio,camio,,كاميو,truck
iTaj,eTaj,Taj,إطاج,floor
bab,,,باب,door
s9f,s9ef,sa9f,سقف,ceiling
STa7,,,صطاح,roof
sansour,sansor,,سانسور,elevator
banko,balko,balcon,بانكو,balcony
kra,,,كرا,rent
frach,,,فراش,furniture
khamia,5amia,,خامية,curtain
tilikomond,telekomond,,تيليكوموند,remote control
BoLa,,,بولا,lamp
DDo,Do,,ضو,light
chm3a,cham3a,chem3a,شمعة,candle
zrbia,zerbia,zarbia,زربية,carpet
brika,,,بريكة,lighter
chTTaba,cheTTaba,chaTTaba,شطابة,broom
mkhdda,mkhadda,mkhedda,مخدة,pillow
mraya,meraya,maraya,مراية,mirror
mchTa,machTa,mechTa,مشطة,comb
douch,,,دوش,shower
kabina,,,كابينة,toilet
papijinik,,,باپيجينيك,toilet paper
lavabo,,,لاڤابو,sink
foTa,fouTa,,فوطة,towel
Sabon,Sabona,,صابون,soap
tllaja,tellaja,tallaja,تلاجة,fridge
frran,farran,ferran,فران,oven
mTr9a,mTar9a,mTir9a,مطرقة,hammer
msmar,masmar,mesmar,مسمار,nail
dodan,,,ضوضان,speed bumps
Srb,Serb,Sarb,صرب,sewer
z7am,zz7am,,زحام,crowdedness
rwina,rwena,rouina,روينة,mess
zbl,zbel,zbal,زبل,trash
rwiDa,rweDa,rouiDa,رويضة,wheel
fran,,,فران,brake
pirmi,ppirmi,,بيرمي,driver's license
chifor,chifour,,شيفور,driver
zyara,ziara,,زيارة,visit
dmou3,dmo3,,دموع,tears
nas,nnas,nass,ناس,people
7ayat,hayat,,حياة,life
mora8i9,moraa8i9,,مراهق,teenager
chabb,chaabb,chaab,شاب,young
chabab,chabaab,,شباب,youth
rajl,,,راجل,man
mra,,,مرا,woman
rjal,,,رجال,men
3yalat,3ialat,,عيالات,women
twam,twama,,توام,twins
3rs,3ers,3ars,عرس,wedding
Sda9,Sdaa9,,صداق,dowry
khaTiba,5aTyba,5aTiba,خطيبة,fiancee
3rousa,3rosa,,عروسة,bride
Tla9,Tala9,Tlaq,طلاق,divorce
mojtama3,,,مجتمع,society
7aDara,haDara,,حضارة,civilization
9bila,qbila,9abila,قبيلة,tribe
moraja3a,,,مراجعة,review
8owia,8owyya,8owya,هوية,identity
tSri7,taSri7,teSri7,تصريح,statement
i3lan,,,إعلان,declaration
9arar,qarar,,قرار,decision
3aryDa,3ariDa,,عارضة,petition
mobaadara,mobadara,,مبادرة,initiative
9tira7,i9tira7,,قتراح,suggestion
khoTTa,5oTTa,,خطة,plan
khtiar,khtyar,ikhtiar,ختيار,choice
maw9if,mou9if,mo9if,موقف,position
SaDaa9a,SaDaaqa,,صداقة,friendship
SaDa9a,SaDaqa,,صدقة,charity
moSiba,moSyba,,مصيبة,tragedy
karita,kaarita,,كارثة,disaster
mo8imma,,,مهمة,mission
kha2in,khaa2in,5aa2in,خائن,traitor
ir8ab,ir8aab,,إرهاب,terrorism
Daroura,Darora,,ضرورة,necessity
maw8iba,mo8iba,,موهبة,talent
3o9oba,3o9ouba,,عقوبة,sanction
ra8ina,,,رهينة,hostage
imkania,imkaania,,إمكانية,possibility
7timal,i7timal,,احتمال,probability
mr7ala,mer7ala,mar7ala,مرحلة,phase
39lia,39lya,,عقلية,mentality
khl3a,khel3a,5l3a,خلعة,panic
miSda9ia,miSdaa9ia,miSdaaqia,مصداقية,credibility
som3a,soum3a,,سمعة,reputation
m3nawiat,m3nawyat,,معنويات,morale
wa3y,,,وعي,awareness
tchwi8,tchwy8,,تشويه,distortion
mzyya,mzia,mzya,مزيّة,benefit
fayda,fa2ida,,فايدة,benefit
rb7,rbe7,rba7,ربح,gain
nf3,nfe3,nfa3,نفع,utility
kimmia,kimmyya,kimmya,كمّية,quantity
fkh,f55,fa55,فخ,trap
tnsi9,tansi9,tnsy9,تنسيق,coordination
nachaaT,,,نشاط,activity
Da7yya,Da7ya,,ضحية,victim
motta8am,,,متّهم,accused
3ti9al,3tiqal,i3ti9al,عتقال,arrest
3tiraf,i3tiraf,3tiraaf,عتراف,confession
mo7akama,mo7aakama,mohakama,محاكمة,trial
cha8id,chaa8id,chahid,شاهد,witness
dalil,dalyl,,دليل,proof
modnib,,,مذنب,guilty
bari2,bary2,,بريء,innocent
chfra,chefra,chafra,شفرة,theft
grisaj,grissaj,,ڭريساج,aggression
sr9a,srqa,ser9a,سرقة,robbery
ladrog,,,لادروگ,drug
ghtiSab,ightiSab,ghtissab,غتصاب,rape
9tila,qtila,,قتيلة,murder
rchwa,rechwa,rachwa,رشوة,bribery
7tyal,7tial,i7tial,حتيال,fraud
7okm,7oukm,hokm,حكم,sentence
i3dam,,,إعدام,death penalty
chn9,chen9,chan9,شنق,hanging
snsla,sensla,selsla,سنسلة,chain
7okoma,7okouma,hokouma,حكومة,government
syasa,siasa,siassa,سياسة,politics
7izb,hizb,,حزب,party
7rrag,7errag,7arrag,حرّاڭ,illegal immigrant
mo8ajir,,,مهاجر,immigrant
sti3mar,isti3mar,,ستعمار,colonization
3omda,3oumda,,عمدة,mayor
amir,amyr,,أمير,prince
wfd,wefd,wafd,وفد,delegation
jm3ia,jm3ya,jam3ia,جمعية,association
wizara,,,وزارة,ministry
chi3ar,chi3aar,,شعار,slogan
ra2y,,,رأي,opinion
nSS,neSS,naSS,نص,half
fasad,fassad,fasaad,فساد,corruption
amn,aman,2amn,أمن,security
salama,salaama,,سلامة,safety
7imaya,,,حماية,protection
mosawat,mosaawaat,mosaawat,مساواة,equality
sti9lal,isti9lal,,ستقلال,independence
syada,siada,,سيادة,sovereignty
3adaala,,,عدالة,justice
tasamo7,tasaamo7,,تسامح,tolerance
ta3ayouch,ta3ayoch,,تعايش,coexistence
7orria,7orrya,,حرية,freedom
karama,karaama,,كرامة,dignity
Damir,Damyr,,ضمير,conscience
mbde2,mabda2,mebde2,مبدأ,principle
akhla9,a5la9,,أخلاق,morals
mi3yar,mi3iar,,معيار,standard
m3your,m3yor,me3your,معيور,insult
Dolm,,,ضلم,oppression
9m3,9em3,9am3,قمع,repression
tmyiz,tamyiz,temyiz,تمييز,discrimination
3onSoria,,,عنصرية,racism
t3dib,t3dyb,ta3dib,تعديب,torture
mjzara,mejzara,majzara,مجزرة,massacre
mdba7a,medba7a,madba7a,مدبحة,massacre
ibada,ibaada,,إبادة,genocide
da3ara,da3aara,,دعارة,prostitution
nggan,neggan,noggan,نڭّان,harassment
3oboudia,3obodia,,عبودية,slavery
n9ilab,in9ilab,,نقيلاب,coup
Sira3,Sera3,Siraa3,صراع,conflict
mo9awama,mo9aawama,moqawama,مقاومة,resistance
7tilal,i7tilal,7tilaal,حتلال,occupation
sla7,,,سلاح,weapon
sif,syf,sayf,سيف,sword
8rawa,hrawa,,هراوة,baton
nawawi,nnawani,,نووي,nuclear
9nbola,9nboula,9anbola,قنبولة,bomb
tfrgi3,tfergui3,tfargi3a,تفرڭيع,explosion
nti7ar,inti7ar,,نتحار,suicide
ch8id,ch8yd,chahid,شهيد,martyr
9br,9ber,9bar,قبر,grave
dbbaba,debbaba,,دبّابة,tank
khasara,khasaara,5asaara,خسارة,loss
stistlam,istislam,stislaam,ستستلام,surrender
7ll,7ell,7all,حل,solution
we9t,wa9t,w9t,وقت,time
khdma,khedma,,خدمة,work
3alam,,,عالم,world
Terf,Trf,,طرف,part
ders,dars,drs,درس,course
system,,,سيستم,system
blaSa,,,بلاصة,place
mjmo3a,,,مجموعة,group
m3loma,ma3loma,,معلومة,information
7a9i9a,,,حقيقة,fact
flouss,flos,flous,فلوس,money
n9Ta,no9Ta,,نقطة,point
khdma,khedma,khadma,خدمة,business
gharad,,,غرض,business
lil,,,ليل,night
jiha,,,جهة,area
misa7a,,,مساحة,area
7aja,haja,,حاجة,thing
3a2ila,,,عائلة,family
rass,,,راس,head
yed,yd,id,يد,hand
tertib,,,ترتيب,order
niDam,,,نضام,order
jiha,,,جهة,side
Dar,,,دار,home
TaTawwor,,,تطور,development
tanmia,,,تنمية,development
Simana,simana,,سيمانة,week
dowla,,,دولة,country
majliss,,,مجلس,council
sti3mal,,,ستعمال,use
khidma,,,خدمة,service
serbiss,,,سربيس,service
me7kama,,,محكمة,court
jma3a,,,جماعة,lot
boliss,,,بوليس,police
formulaire,,,فورمولير,form
wjh,,,وجه,face
terbia,,,,education
siyassa,,,سياسة,policy
ba7t,be7t,b7t,بحت,research
tartib,trtib,tertib,ترتيب,sort
mekteb,mktb,,مكتب,office
jism,,,جسم,body
chakhS,,,شخص,person
se77a,si77a,,صحة,health
oum,om,,أم,mother
walida,,,والدة,mother
so2al,ce2al,,سؤال,question
mer7ala,,,مرحلة,period
smia,,,سمية,name
ktab,,,كتاب,book
mostawa,,,مستوى,level
derri sghir,,,درّي صغير,child
berhouch,,,برهوش,child
ta7akkom,,,تحكم,control
menDer,mnDer,mnDr,منضر,view
Str,,,سطر,line
mojtama3,,,مجتمع,community
janoub,janob,,جنوب,south
mdina,,,مدينة,city
allah,,,الله,god
ilah,,,إلاه,god
reb,rb,,رب,god
ab,2ab,,أب,father
walid,,,والد,father
merkez,mrkz,merkz,مركز,centre
lkheddama,,,لخدّامة,staff
nou3,,,نوع,kind
7araka,,,حركة,action
idara,,,إدارة,management
tasyir,,,تسيير,management
f3la,fe3la,fi3l,فعلة,act
3amalia,,,عملية,process
chamal,,,شمال,north
dalil,,,دليل,evidence
fikra,,,فكرة,idea
gharb,ghrb,gherb,غرب,west
da3m,,,دعم,support
la7da,l7da,,لحظة,moment
t9rir,ta9rir,,تقرير,report
39el,39l,,عقل,mind
kanisa,,,كنيسة,church
sba7,,,صباح,morning
Sina3a,,,صناعة,industry
2ard,,,أرض,land
3inaya,,,عناية,care
9arn,9ern,,قرن,century
llour,llor,,لور,back
tabadol,tbdal,,تبادل,trade
tarikh,,,تاريخ,history
9raya,,,قرايا,study
zen9a,zn9a,,زنقة,street
no9ta,n9ta,,نقطة,rate
kelma,,,كلمة,word
makla,,,ماكلة,food
natija,,,نتيجة,result
akhor,,,أخور,other
ssi,,,سي,sir
SolTa,,,سلطة,authority
dawr,dour,,دور,role
sabab,,,سبب,reason
taman,,,تمن,price
mdina,,,مدينة,town
9ism,,,قسم,class
classe,,,كلاس,class
Tabi3a,,,طبيعة,nature
mawdo3,,,موضوع,subject
9ism,,,قسم,department
itti7ad,,,اتحاد,union
banka,,,بنكة,bank
3oDw,,,عضو,member
i7tiyaj,,,إحتياج,need
cher9,char9,chr9,شرق,east
tdrib,tadrib,,تدريب,practice
wer9a,,,ورقة,paper
kaghit,9a3it,kaght,كاغيط,paper
tmer,,,تمر,date
rendez vous,,,رونديفو,date
ra9m,,,رقم,figure
mra,,,مرا,wife
ra2is,,,رئيس,president
jami3a,,,جامعة,university
nadi,,,نادي,club
jawda,jaouda,,جودة,quality
SoT,SouT,,صوت,voice
moulay,,,مولاي,lord
mer7ala,mar7ala,mr7ala,مرحلة,stage
khachaba,,,خشبة,stage
7na,,,حنا,us
maw9if,mo9if,,موقف,situation
Dariba,,,ضريبة,tax
intaj,,,إنتاج,production
massira,,,مسيرة,march
chher tlata,ch8er tlata,,شهر تلاتة,march
sekritira,secritira,,سكريتيرة,secretary
fen,fn,fnn,فن,art
ch8er khmsa,ch8er khamsa,ch8er khemsa,شهر خمسة,may
sbiTar,,,سبيطار,hospital
ch8er,,,شهر,month
moSi9a,,,موسيقا,music
taman,,,ثمن,cost
2ard fila7ia,,,أرض فلاحية,field
tiran,,,تيران,field
ja2iza,,,جائزة,award
mochkil,,,موشكيل,issue
ms2ala,mas2ala,,مسألة,issue
mchro3,mchrou3,mechrou3,مشروع,project
faSl,,,فصل,chapter
lo3ba,l3ba,le3ba,لعبة,game
kimmiya,kimmia,,كمية,amount
2asas,,,أساس,basis
ma3rifa,m3rifa,,معرفة,knowledge
mo9araba,,,مقاربة,approach
moselsal,,,مسلسل,series
7ob,,,حب,love
lfo9,,,لفوق,top
akhbar,,,أخبار,news
goddam,9oddam,,ڭدّام,front
mosta9bal,most9bal,,مستقبل,future
modir,,,مدير,manager
7isab,7sab,,حساب,account
pc,,,بيسي,computer
ordinateur,,,أُرديناتور,computer
ra7a,,,راحة,rest
khedma,khdma,,خدمة,labour
binaya,,,بناية,structure
ch3er,ch3ar,,شعر,hair
mchro3 9anon,mchrou3 9anoun,mchro3 9anoun,مشروع قانون,bill
factoura,,,فاكتورة,bill
9elb,9alb,,قلب,heart
se77a,s77a,,صحة,force
3ndak,3endak,,عنداك,attention
naja7,,,نجاح,success
risala,,,رسالة,letter
ittifa9,,,إتّفاق,agreement
3aSima,,,عاصمة,capital
t7lil,,,تحليل,analysis
sokkan,,,صوكّان,population
mo7it,,,محيط,environment
2ada2,,,أداء,performance
model,,,موديل,model
materiel,,,ماتريال,material
naDaria,,,نظرية,theory
nomow,,,نمو,growth
zher,,,زهر,chance
3ala9a,,,علاقة,relationship
wld,weld,wald,ولد,son
b7er,b7ar,b7r,بحر,sea
tsjil,,,تسجيل,record
9yas,,,قياس,size
mlk,milk,,ملك,property
fada2,,,فضاء,space
missa7a,,,مساحة,space
moSTala7,,,مصطلح,term
modir,,,مدير,director
taSarrof,taSarrouf,,تصرف,behaviour
3ilaj,,,علاج,treatment
mo3amala,,,معاملة,treatment
Ta9a,,,طاقة,energy
dakhl,,,دخل,income
kas,ka2s,,كاس,cup
mokhTaT,mokhaTaT,,مخطط,scheme
design,,,ديزاين,design
jawab,,,جواب,response
DaghT,DghT,,ضغط,pressure
Sala,,,صالة,hall
couple,,,كوپل,couple
tiknologia,,,تيكنولوجيا,technology
difa3,,,دفاع,defence
la2i7a,,,لائحة,list
modir,,,مدير,chairman
contra,,,كونطرا,contract
3a9d,,,عقد,contract
mo9aTa3a,,,مقاطعة,county
fer9,,,فرق,difference
2oTil,,,أوطيل,hotel
chmch,chms,,شمس,sun
produit,,,پرودوي,product
mntouj,mantouj,mantoj,منتوج,product
SSif,,,الصيف,summer
loun,,,لون,colour
faSl,,,فصل,season
w7da,wa7da,,وحدة,unit
jerDa,jrDa,,جردة,park
sa3a,,,ساعة,hour
stitmar,,,استثمار,investment
khtibar,,,ختيبار,test
rajl,,,راجل,husband
khdma,,,خدمة,employment
style,,,ستيل,style
2osloub,,,أسلوب,style
3ilm,,,علم,science
choufa,,,شوفة,look
meDher,mDher,mDhr,مضهر,look
Sf9a,Saf9a,Sef9a,صفقة,deal
cho7na,,,شحنة,charge
mosa3ada,,,مساعدة,help
9tiSad,,,قتصاد,economy
jdid,jadid,,جديد,new
Sf7a,Saf7a,Sef7a,صفحة,page
khaTar,,,خطر,risk
7adath,,,حدت,event
tSwira,,,تصويرة,picture
commission,,,كوميسيون,commission
je3ba,j3ba,ja3ba,جعبة,tube
7outa,,,حوتة,fish
kollia,,,كلّية,college
zit,,,زيت,oil
Tbib,,,طبيب,doctor
forSa,,,فرصة,opportunity
forSa,,,فرصة,occasion
forSa,,,فرصة,chance
film,,,فيلم,film
mo7aDara,,,محاضرة,conference
application,,,أپّليكاسيون,application
TaTbi9,,,تطبيق,application
Sa7afa,,,صحافة,press
jem3,jam3,jm3,جمع,addition
station,,,ستاسيون,station
ma7al,,,محل,shop
mnTa9a,minTa9a,,منطقة,region
chek,chk,,شك,doubt
aghlabia,,,أغلبية,majority
daraja,,,درجة,degree
dem,dmm,dm,دم,blood
SoT,SouT,,صوت,sound
maw9i3,,,موقع,site
ahammia,,,أهمية,importance
3onwan,,,عنوان,title
la9ab,,,لقب,title
faSila,,,فصيلة,species
zyada,ziyada,,زيادة,increase
ihtimam,,,إهتمام,concern
moSaba9a,,,مسابقة,competition
bernamaj,,,برنامج,software
siyda,,,سيدة,lady
jawab,,,جواب,answer
2ard,,,أرض,earth
bent,,,بنت,daughter
hadaf,,,هدف,purpose
ms2oulia,mas2oulia,,مسؤولية,responsibility
ra2is,,,رئيس,leader
wad,ouad,,واد,river
3in,3ayn,,عين,eye
9oDra,,,قدرة,ability
jadibia,,,جادبية,gravity
jadibia,,,جادبية,attractability
mo3arada,,,معارضة,opposition
7amla,7emla,7mla,حملة,campaign
7tiram,,,حترام,respect
mohimma,,,مهمة,task
solde,,,صولد,sale
tkhfiD,,,تخفيض,sale
kaml,,,كامل,whole
DabiT,,,ضابط,officer
9ism,,,قسم,division
biasa,piasa,,بياسة,piece
na9S,,,ناقص,lack
marad,mard,mrd,مرض,disease
materiel,,,ماترييل,equipment
misa7a,,,مساحة,surface
oxford,,,أكسفورد,oxford
Talab,,,طلب,demand
boSTa,,,بوصطة,post
fom,fmm,fm,فم,mouth
radio,,,راديو,radio
mo7awala,,,محاولة,attempt
9iTa3,,,قطاع,sector
charika,,,شركة,firm
7ala,,,حالة,status
salam,,,سلام,peace
tanawwo3,,,تنوّع,variety
ostad,stad,,أُستاد,teacher
mo3llim,mo3allim,,معلّم,teacher
barnamaj,,,برنامج,show
naTi9,,,ناطق,speaker
trebia,tribia,,تربية,baby
dra3,,,دراع,arm
9a3ida,,,قاعدة,base
anisa,2anisa,,أنسة,miss
mochkil,,,موشكيل,trouble
ta9afa,,,ثقافة,culture
ittijah,,,إتجاه,direction
siya9,,,سياق,context
chakhSiya,chkhSiya,,شخصية,character
7arf,7rf,,حرف,character
ni9ach,,,نقاش,discussion
mo7adata,,,محادثة,discussion
maDi,,,ماضي,past
wazn,,,وزن,weight
monaDDama,,,منظمة,organisation
akh,,,أخ,brother
dawri,,,دوري,league
3oSba,,,عصبة,league
charT,,,شرط,condition
makina,,,ماكينة,machine
ni9ach,,,نقاش,argument
dalil,,,دليل,argument
jins,,,جنس,sex
mizania,,,ميزانية,budget
nglizia,,,انجليزية,english
transpor,,,ترانسپور,transport
9sem,9sm,,قسم,share
walida,,,والدة,mum
flous cash,,,فلوس كاش,cash
tabadol,,,تبادل,exchange
mosa3ada,,,مساعدة,aid
mktaba,maktaba,,مكتبة,library
noskha,nskha,,نسخة,version
9a3ida,,,قاعدة,rule
atay,,,أتاي,tea
tawazon,,,توازن,balance
mizan,,,ميزان,balance
3chia,,,عشية,afternoon
mnTa9a,minTa9a,,منطقة,district
Dora,,,دورة,turn
mohimma,,,مهمة,duty
stiTla3,,,استطلاع,survey
7oDor,7oDour,,حضور,presence
t2tir,ta2tir,te2tir,تأثير,influence
7jra,7ajra,7ejra,حجرة,stone
kelb,klb,kalb,كلب,dog
mjmo3a,,,مجموعة,collection
modir,,,مدير,executive
khiTab,,,خطاب,speech
waDifa,,,وظيفة,function
malika,,,ملكة,queen
jwaj,,,جواج,marriage
STok,,,صطوك,stock
fachal,,,فشل,failure
tlmid,tilmid,,تلميذ,student
Talib,,,طالب,student
mjhoud,majhoud,mejhoud,مجهود,effort
3oTla,,,عطلة,holiday
carriere,,,كاريير,career
hojom,hojoum,8ojoum,هجوم,attack
Tol,,,طول,length
3awd,,,عود,horse
ta9addom,,,تقدم,progress
nbta,nabta,nebta,نبتة,plant
3ala9a,,,علاقة,relation
kora,,,كورة,ball
dakira,,,ذاكرة,memory
bar,,,بار,bar
rbe3,rb3,,ربع,quarter
t2tir,,,تأثير,impact
race,,,راس,race
Sora,tSwira,,صورة,image
ti9a,,,ثقة,trust
7affa,,,حافة,edge
gaz,,,ڭاز,gas
sekka,skka,,سكة,railway
t3bir,,,تعبير,expression
momayyiza,,,مميزة,advantage
avantage,,,أفانتاج,advantage
dheb,dhb,dhab,دهب,gold
khcheb,khchb,khchab,خشب,wood
rizo,,,ريزو,network
text,,,تكست,text
ghaba,,,غابة,forest
okht,kht,,أخت,sister
rjel,rjl,,رجل,foot
Tl3,,,طلع,rise
chta,chtwa,,شتا,winter
9nt,9ent,9ont,قنت,corner
9nt,9ent,9ont,قنت,place
aSoranS,,,أصورانص,insurance
Darar,,,ضرر,damage
kridi,,,كريدي,credit
2alam,,,ألم,pain
tchri3,tachri3,,تشريع,legislation
Se77a,S77a,,صحة,strength
sor3a,,,سرعة,speed
kdia,kodia,,كدية,hill
ni9ach,,,نقاش,debate
irada,,,إرادة,will
